News,Tag,NewsLink,Extracted_tokens
A list of ten tips to combat coronavirus from the board member of Stanford hospital: COVID-19 patients don’t have a runny nose; drinking hot water can prevent infection with COVID-19.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-list-of-ten-tips-to-combat-coronavirus-from-the-board-member-of-stanford-hospital-covid-19-patients-dont-have-a-runny-nose-drinking-hot-water-can-prevent-infection-with-covid-19,"['tip', 'patient', 'list', 'board', 'member', 'stanford', 'hospital', 'drinking', 'water', 'prevent', 'infection']"
Nike is giving away free shoes because of coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=nike-is-giving-away-free-shoes-because-of-coronavirus,"['shoe', 'giving']"
A video post related to corona virus is circulating in social media saying China distributing Quran,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-post-related-to-corona-virus-is-circulating-in-social-media-saying-china-distributing-quran,"['virus', 'china', 'distributing', 'quran']"
"Several photos of coffins, allegedly, with victims of the coronavirus for which the police are being investigated",FALSE,https://www.poynter.org/?ifcn_misinformation=several-photos-of-coffins-allegedly-with-victims-of-the-coronavirus-for-which-the-police-are-being-investigated,"['photo', 'coffin', 'victim', 'polic', 'investigated']"
A video of an alleged seer who predicted the coronavirus in December 2019,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-of-an-alleged-seer-who-predicted-the-coronavirus-in-december-2019,"['alleged', 'seer', 'predicted', 'december']"
The current Coronavirus outbreak is due to the movement towards 5G.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-current-coronavirus-outbreak-is-due-to-the-movement-towards-5g,"['toward', 'outbreak', 'movement']"
The viral text message claims that the chemical substances (methylxanthines) required to cure Covid-19 can be found in tea. Dr. Li Wenliang had found this cure while researching about coronavirus before his death.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-viral-text-message-claims-that-the-chemical-substances-methylxanthines-required-to-cure-covid-19-can-be-found-in-tea-dr-li-wenliang-had-found-this-cure-while-researching-about-coronavirus-befo,"['substanc', 'methylxanthin', 'chemical', 'required', 'cure', 'found', 'li', 'wenliang', 'found', 'cure', 'researching', 'death']"
The coronavirus stays for 8 hours spreading in the air.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-stays-for-8-hours-spreading-in-the-air,"['stay', 'hour', 'spreading', 'air']"
"Pakistan’s Dr. Usama Riaz, who contracted coronavirus while treating patients had left a before he died.",FALSE,https://www.poynter.org/?ifcn_misinformation=pakistans-dr-usama-riaz-who-contracted-coronavirus-while-treating-patients-had-left-a-before-he-died,"['patient', 'pakistan', 'usama', 'riaz', 'contracted', 'treating', 'left']"
"A viral video post claiming that Myanmar people have resistance to coronavirus as they eat fishpaste and vegetables. The video narration he says that Myanmar people eat rice, fishpaste and vegetables- thus we don’t need to worry about coronavirus infections as our immune system is stronger than people from the west.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-viral-video-post-claiming-that-myanmar-people-have-resistance-to-coronavirus-as-they-eat-fishpaste-and-vegetables-the-video-narration-he-says-that-myanmar-people-eat-rice-fishpaste-and-vegetables,"['peopl', 'peopl', 'infect', 'peopl', 'myanmar', 'fishpaste', 'narration', 'myanmar', 'fishpaste', 'need', 'system', 'vegetable', 'say']"
