News,Tag,NewsLink
A list of ten tips to combat coronavirus from the board member of Stanford hospital: COVID-19 patients don’t have a runny nose; drinking hot water can prevent infection with COVID-19.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-list-of-ten-tips-to-combat-coronavirus-from-the-board-member-of-stanford-hospital-covid-19-patients-dont-have-a-runny-nose-drinking-hot-water-can-prevent-infection-with-covid-19
Nike is giving away free shoes because of coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=nike-is-giving-away-free-shoes-because-of-coronavirus
A video post related to corona virus is circulating in social media saying China distributing Quran,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-post-related-to-corona-virus-is-circulating-in-social-media-saying-china-distributing-quran
"Several photos of coffins, allegedly, with victims of the coronavirus for which the police are being investigated",FALSE,https://www.poynter.org/?ifcn_misinformation=several-photos-of-coffins-allegedly-with-victims-of-the-coronavirus-for-which-the-police-are-being-investigated
A video of an alleged seer who predicted the coronavirus in December 2019,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-of-an-alleged-seer-who-predicted-the-coronavirus-in-december-2019
The current Coronavirus outbreak is due to the movement towards 5G.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-current-coronavirus-outbreak-is-due-to-the-movement-towards-5g
The viral text message claims that the chemical substances (methylxanthines) required to cure Covid-19 can be found in tea. Dr. Li Wenliang had found this cure while researching about coronavirus before his death.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-viral-text-message-claims-that-the-chemical-substances-methylxanthines-required-to-cure-covid-19-can-be-found-in-tea-dr-li-wenliang-had-found-this-cure-while-researching-about-coronavirus-befo
The coronavirus stays for 8 hours spreading in the air.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-stays-for-8-hours-spreading-in-the-air
"Pakistan’s Dr. Usama Riaz, who contracted coronavirus while treating patients had left a before he died.",FALSE,https://www.poynter.org/?ifcn_misinformation=pakistans-dr-usama-riaz-who-contracted-coronavirus-while-treating-patients-had-left-a-before-he-died
"A viral video post claiming that Myanmar people have resistance to coronavirus as they eat fishpaste and vegetables. The video narration he says that Myanmar people eat rice, fishpaste and vegetables- thus we don’t need to worry about coronavirus infections as our immune system is stronger than people from the west.",FALSE,https://www.poynter.org/?ifcn_misinformation=a-viral-video-post-claiming-that-myanmar-people-have-resistance-to-coronavirus-as-they-eat-fishpaste-and-vegetables-the-video-narration-he-says-that-myanmar-people-eat-rice-fishpaste-and-vegetables
Italy has surrendered to the Coronavirus pandemic as all the measures to control Covid-19 have been exhausted.,FALSE,https://www.poynter.org/?ifcn_misinformation=italy-has-surrendered-to-the-coronavirus-pandemic-as-all-the-measures-to-control-covid-19-have-been-exhausted
Donald Trump attending the recital of Quran verses to fight coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=donald-trump-attending-the-recital-of-quran-verses-to-fight-coronavirus
Coronavirus has been found in crab legs.,FALSE,https://www.poynter.org/?ifcn_misinformation=coronavirus-has-been-found-in-crab-legs
Claim that Saint Corona has always been a patron saint against epidemics.,FALSE,https://www.poynter.org/?ifcn_misinformation=claim-that-saint-corona-has-always-been-a-patron-saint-against-epidemics
Amitabh Bachchan gave 500 million rupees to the Mumbai government to fight the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=amitabh-bachchan-gave-500-million-rupees-to-the-mumbai-government-to-fight-the-coronavirus
An online survey to self-assess coronavirus symptoms.,Explanatory,https://www.poynter.org/?ifcn_misinformation=an-online-survey-to-self-assess-coronavirus-symptoms
"Two articles claiming that iconic coffee chain Tim Hortons will close all Canada franchises on March 30, 2020 because of the novel coronavirus were shared more than 150,000 times on Facebook.",FALSE,https://www.poynter.org/?ifcn_misinformation=two-articles-claiming-that-iconic-coffee-chain-tim-hortons-will-close-all-canada-franchises-on-march-30-2020-because-of-the-novel-coronavirus-were-shared-more-than-150000-times-on-facebook
"Images showing vaccines for Coronavirus have already been discovered, were patented and will be readily available.",FALSE,https://www.poynter.org/?ifcn_misinformation=images-showing-vaccines-for-coronavirus-have-already-been-discovered-were-patented-and-will-be-readily-available
The Netflix Korean drama My secret terrius predicted the Coronavirus outbreak in 2018.,FALSE,https://www.poynter.org/?ifcn_misinformation=the-netflix-korean-drama-my-secret-terrius-predicted-the-coronavirus-outbreak-in-2018
False measures of coronavirus in Bogota.,FALSE,https://www.poynter.org/?ifcn_misinformation=false-measures-of-coronavirus-in-bogota
Bollywood superstar Aamir Khan donated Rs. 250 crore to tackle the novel coronavirus outbreak.,FALSE,https://www.poynter.org/?ifcn_misinformation=bollywood-superstar-aamir-khan-donated-rs-250-crore-to-tackle-the-novel-coronavirus-outbreak
A photo with a message of a doctor crying saying that the coronavirus is stronger than science.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-photo-with-a-message-of-a-doctor-crying-saying-that-the-coronavirus-is-stronger-than-science
Hot tubes can help to prevent the coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=hot-tubes-can-help-to-prevent-the-coronavirus
A video claiming to be of Canadian Prime Minister Justin Trudeau’s wife Sophie Grégoire Trudeau who is infected with Coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-claiming-to-be-of-canadian-prime-minister-justin-trudeaus-wife-sophie-gregoire-trudeau-who-is-infected-with-coronavirus
A Matt Damon movie trailer that predicts coronavirus pandemy,FALSE,https://www.poynter.org/?ifcn_misinformation=a-matt-damon-movie-trailer-that-predicts-coronavirus-pandemy
An image claiming that Vladimir Putin said that United States created coronavirus as a biological weapon.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-image-claiming-that-vladimir-putin-said-that-united-states-created-coronavirus-as-a-biological-weapon
An audio that says that MMS or sodium chlorite cures the coronavirus in 24 hours.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-audio-that-says-that-mms-or-sodium-chlorite-cures-the-coronavirus-in-24-hours
Viral WhatsApp audio message claims President Buhari and his Chief of Staff flew out of the country for coronavirus treatment.,FALSE,https://www.poynter.org/?ifcn_misinformation=viral-whatsapp-audio-message-claims-president-buhari-and-his-chief-of-staff-flew-out-of-the-country-for-coronavirus-treatment
Italian President said that Italy has surrendered to the Coronavirus.,FALSE,https://www.poynter.org/?ifcn_misinformation=italian-president-said-that-italy-has-surrendered-to-the-coronavirus
Images of the medical facility shared with the claim that the Indian Army set up a 1000-bed hospital in Rajasthan amidst Coronavirus Pandemic.,FALSE,https://www.poynter.org/?ifcn_misinformation=images-of-the-medical-facility-shared-with-the-claim-that-the-indian-army-set-up-a-1000-bed-hospital-in-rajasthan-amidst-coronavirus-pandemic
"A herd of deer shared as them flocking out in Tamil Nadu, India due to the lockdown of the Coronavirus",FALSE,https://www.poynter.org/?ifcn_misinformation=a-herd-of-deer-shared-as-them-flocking-out-in-tamil-nadu-india-due-to-the-lockdown-of-the-coronavirus
An audio clip is circulating on Whatsapp claiming that Nagpur (Second Capital of Indian state Maharashtra) has tested 59 positive coronavirus cases including 3 doctors.,FALSE,https://www.poynter.org/?ifcn_misinformation=an-audio-clip-is-circulating-on-whatsapp-claiming-that-nagpur-second-capital-of-indian-state-maharashtra-has-tested-59-positive-coronavirus-cases-including-3-doctors
Netflix and Amazon are offering free subscription amid the coronavirus outbreak.,FALSE,https://www.poynter.org/?ifcn_misinformation=netflix-and-amazon-are-offering-free-subscription-amid-the-coronavirus-outbreak
